price,metro_stations_list,metro_station,walk_time,rooms,floor,floors_total,square_total,square_kitchen,ceiling_height,wall_material,renovation,year_built,owners_count,infrastructure,yard_improvement,publication_date,edit_date,ad_id,url,square_living
79870000,"Пушкинская: 10 мин, Тверская: 10 мин, Чеховская: 13 мин, Арбатская: 14 мин, Маяковская: 14 мин, Баррикадная: 17 мин, Александровский сад: 19 мин, Библиотека им. Ленина: 19 мин, Охотный ряд: 20 мин, Краснопресненская: 20 мин",Пушкинская,10 мин,4.0,3.0,5.0,109.0,9.0,3.4,Кирпичный,Есть ремонт,,,"Школы, Магазины","Видеонаблюдение, Парковка",,,322952403,https://www.cian.ru/sale/flat/322952403/,
25000000,"Водный стадион: 7 мин, Коптево: 23 мин, Балтийская: 4 мин",Балтийская,4 мин,2.0,13.0,20.0,45.5,19.2,,Монолитный,Дизайнерский ремонт,2021.0,,"Школы, Магазины, Торговые центры","Видеонаблюдение, Парковка",,,322992907,https://www.cian.ru/sale/flat/322992907/,20.0
17500000,"Динамо: 10 мин, Петровский Парк: 15 мин, Беговая: 17 мин",Динамо,10 мин,1.0,2.0,7.0,38.7,8.0,3.2,Кирпичный,,,,"Магазины, Торговые центры",Парковка,,,322392311,https://www.cian.ru/sale/flat/322392311/,
11450000,"Филатов Луг: 4 мин, Саларьево: 7 мин, Рассказовка: 9 мин",Филатов Луг,4 мин,1.0,4.0,17.0,34.5,10.0,2.8,Монолитный,Есть ремонт,2021.0,,"Школы, Магазины",Парковка,,,321651937,https://www.cian.ru/sale/flat/321651937/,16.0
20949999,"Красногвардейская: 9 мин, Зябликово: 10 мин, Шипиловская: 15 мин",Красногвардейская,9 мин,3.0,2.0,17.0,74.1,10.0,,Панельный,,,,Школы,Парковка,,,323149141,https://www.cian.ru/sale/flat/323149141/,45.0
93000000,"Октябрьское поле: 3 мин, Панфиловская: 5 мин, Зорге: 16 мин",Октябрьское поле,3 мин,,18.0,18.0,217.0,20.0,,Кирпичный,,2005.0,,Школы,Парковка,,,316949354,https://www.cian.ru/sale/flat/316949354/,152.0
8600000,"Некрасовка: 5 мин, Люберцы: 22 мин, Панки: 7 мин",Некрасовка,5 мин,1.0,13.0,17.0,37.7,7.3,2.74,Панельный,Есть ремонт,,,"Школы, Магазины",Парковка,,,320085074,https://www.cian.ru/sale/flat/320085074/,19.1
126000000,"Новокузнецкая: 9 мин, Третьяковская: 10 мин, Китай-город: 17 мин, Площадь Революции: 18 мин, Охотный ряд: 18 мин, Театральная: 18 мин, Полянка: 20 мин",Новокузнецкая,9 мин,,3.0,6.0,126.0,,,Монолитный,,2018.0,,,"Видеонаблюдение, Парковка",,,294992440,https://www.cian.ru/sale/flat/294992440/,100.0
12399999,"Подрезково: 17 мин, Новоподрезково: 19 мин, Сходня: 7 мин",Сходня,7 мин,2.0,13.0,19.0,67.7,11.4,2.84,Панельный,Есть ремонт,2012.0,,,,,,318015798,https://www.cian.ru/sale/flat/318015798/,39.2
13850000,"Некрасовка: 7 мин, Лухмановская: 5 мин, Люберцы: 6 мин",Лухмановская,5 мин,2.0,2.0,17.0,51.0,10.0,2.7,Панельный,Есть ремонт,2015.0,2.0,"Школы, Магазины, Торговые центры",Парковка,,,319094377,https://www.cian.ru/sale/flat/319094377/,31.0
22000000,"Тушинская: 7 мин, Спартак: 7 мин, Стрешнево: 6 мин",Стрешнево,6 мин,1.0,6.0,18.0,38.2,9.7,3.1,Монолитный,Есть ремонт,2017.0,,"Школы, Магазины",Парковка,,,321857064,https://www.cian.ru/sale/flat/321857064/,18.8
11800000,"Марьино: 11 мин, Братиславская: 13 мин, Перерва: 14 мин",Марьино,11 мин,1.0,17.0,17.0,38.6,9.0,,Панельный,Есть ремонт,,,"Школы, Магазины",Парковка,,,321628217,https://www.cian.ru/sale/flat/321628217/,19.0
7490000,"Свиблово: 11 мин, Бабушкинская: 18 мин, Ботанический сад: 7 мин",Ботанический сад,7 мин,,1.0,4.0,21.0,3.0,,Кирпичный,Есть ремонт,,,"Школы, Магазины",,,,323408672,https://www.cian.ru/sale/flat/323408672/,13.0
350000000,"Фрунзенская: 16 мин, Киевская: 18 мин, Спортивная: 21 мин",Фрунзенская,16 мин,4.0,4.0,8.0,202.0,22.0,3.0,Монолитный,Есть ремонт,2014.0,,"Школы, Магазины","Охрана, Парковка",,,318127563,https://www.cian.ru/sale/flat/318127563/,
13600000,,,10 мин,2.0,3.0,9.0,42.0,,,Кирпичный,,,,,Парковка,,,323383077,https://www.cian.ru/sale/flat/323383077/,
14990000,"Серебряный Бор: 6 мин, Бульвар Генерала Карбышева: 24 мин, Щукинская: 5 мин, Панфиловская: 6 мин, Октябрьское поле: 7 мин",Щукинская,5 мин,2.0,3.0,5.0,41.1,6.0,,Кирпичный,,,,Школы,,,,318369745,https://www.cian.ru/sale/flat/318369745/,27.0
11250000,"Люблино: 6 мин, Братиславская: 24 мин, Волжская: 6 мин",Люблино,6 мин,1.0,13.0,17.0,34.0,7.5,2.7,Панельный,,,,"Школы, Магазины",Парковка,,,323461344,https://www.cian.ru/sale/flat/323461344/,15.5
