price,metro_stations_list,metro_station,walk_time,rooms,floor,floors_total,square_total,square_kitchen,ceiling_height,wall_material,renovation,year_built,owners_count,infrastructure,yard_improvement,publication_date,edit_date,ad_id,url,square_living
230000000,"Смоленская: 9 мин, Арбатская: 10 мин, Кропоткинская: 13 мин, Александровский сад: 16 мин, Библиотека им. Ленина: 16 мин, Боровицкая: 19 мин",Смоленская,9 мин,4.0,4.0,7.0,150.0,60.0,3.0,Кирпичный,Есть ремонт,,,"Школы, Магазины",Парковка,,,322345293,https://www.cian.ru/sale/flat/322345293/,
11400000,"Юго-Восточная: 6 мин, Выхино: 13 мин, Выхино: 14 мин",Юго-Восточная,6 мин,2.0,11.0,14.0,40.09,5.9,2.5,Панельный,,,,Школы,Парковка,,,322596373,https://www.cian.ru/sale/flat/322596373/,23.9
161772200,"Аэропорт: 10 мин, Сокол: 10 мин, Панфиловская: 20 мин",Аэропорт,10 мин,3.0,6.0,57.0,160.0,20.0,3.2,Монолитно-кирпичный,,,,"Школы, Магазины","Парковка, Видеонаблюдение",,,303470941,https://www.cian.ru/sale/flat/303470941/,80.0
25000000,"Волоколамская: 20 мин, Трикотажная: 5 мин, Мякинино: 23 мин",Трикотажная,5 мин,2.0,19.0,25.0,40.0,10.0,3.0,,Есть ремонт,,,,Парковка,,,322722613,https://www.cian.ru/sale/flat/322722613/,
7800000,"Аэропорт Внуково: 11 мин, Толстопальцево: 4 мин, Кокошкино: 6 мин",Толстопальцево,4 мин,,5.0,19.0,26.17,5.0,,Панельный,,2017.0,,,Парковка,,,320068864,https://www.cian.ru/sale/flat/320068864/,16.2
15999000,"Шипиловская: 21 мин, Домодедовская: 22 мин, Борисово: 24 мин",Шипиловская,21 мин,3.0,8.0,9.0,58.7,6.0,2.64,Панельный,Есть ремонт,,,"Школы, Магазины",Парковка,,,318370077,https://www.cian.ru/sale/flat/318370077/,43.2
23800000,"Бульвар Генерала Карбышева: 13 мин, Серебряный Бор: 19 мин, Народное Ополчение: 23 мин, Мнёвники: 4 мин, Хорошёвская: 5 мин",Мнёвники,4 мин,1.0,3.0,20.0,45.7,14.0,,,,,,Магазины,Парковка,,,322241697,https://www.cian.ru/sale/flat/322241697/,25.0
110000000,"Курская: 12 мин, Чистые пруды: 10 мин, Тургеневская: 12 мин, Сретенский бульвар: 13 мин, Китай-город: 14 мин, Красные ворота: 14 мин, Чкаловская: 16 мин, Курская: 16 мин, Лубянка: 18 мин",Чистые пруды,10 мин,4.0,7.0,8.0,130.0,38.0,4.2,,,,1.0,Школы,Парковка,,,323158516,https://www.cian.ru/sale/flat/323158516/,
10500000,"Медведково: 5 мин, Бабушкинская: 21 мин, Свиблово: 7 мин",Медведково,5 мин,1.0,1.0,12.0,32.5,9.6,2.64,,Есть ремонт,,,"Школы, Магазины",Парковка,,,323438331,https://www.cian.ru/sale/flat/323438331/,17.3
13200000,"Пыхтино: 10 мин, Рассказовка: 5 мин, Аэропорт Внуково: 7 мин",Рассказовка,5 мин,2.0,16.0,17.0,54.7,8.5,,Панельный,Есть ремонт,2013.0,,"Школы, Магазины, Торговые центры","Парковка, Видеонаблюдение",,,322947918,https://www.cian.ru/sale/flat/322947918/,30.0
4500000,"Беломорская: 4 мин, Речной вокзал: 13 мин, Ховрино: 4 мин",Беломорская,4 мин,,10.0,12.0,38.2,6.4,2.64,Блочный,,,,,Парковка,,,317509745,https://www.cian.ru/sale/flat/317509745/,23.8
21700000,"Беговая: 14 мин, Динамо: 15 мин, Петровский Парк: 20 мин",Беговая,14 мин,3.0,4.0,6.0,63.0,8.6,3.2,Кирпичный,Есть ремонт,,,"Школы, Магазины",Парковка,,,317294476,https://www.cian.ru/sale/flat/317294476/,41.6
16250000,"Прокшино: 22 мин, Коммунарка: 5 мин, Ольховая: 5 мин",Коммунарка,5 мин,2.0,5.0,5.0,58.7,15.0,,Панельный,Есть ремонт,2014.0,,Торговые центры,Парковка,,,323147934,https://www.cian.ru/sale/flat/323147934/,
,,,,,,,,,,,,,,,,,,299928195,https://www.cian.ru/sale/flat/299928195/,
21700000,"Коптево: 10 мин, Водный стадион: 25 мин, Лихоборы: 7 мин",Лихоборы,7 мин,,8.0,10.0,64.4,14.3,2.97,,,,,"Школы, Торговые центры",,,,317546895,https://www.cian.ru/sale/flat/317546895/,30.5
21500000,"Волоколамская: 14 мин, Трикотажная: 19 мин, Митино: 22 мин",Волоколамская,14 мин,3.0,8.0,16.0,77.0,11.0,2.7,Панельный,,,,"Школы, Магазины, Торговые центры",Парковка,,,312968255,https://www.cian.ru/sale/flat/312968255/,45.0
22500000,"Стрешнево: 6 мин, Стрешнево: 10 мин, Панфиловская: 18 мин, Щукинская: 19 мин, Войковская: 19 мин",Стрешнево,6 мин,,22.0,22.0,70.0,15.0,4.5,,Есть ремонт,2022.0,,"Школы, Магазины",Парковка,,,321602446,https://www.cian.ru/sale/flat/321602446/,30.0
4790000,"Селигерская: 7 мин, Яхромская: 10 мин, Верхние Лихоборы: 22 мин",Селигерская,7 мин,,1.0,3.0,11.4,3.0,,Кирпичный,Есть ремонт,,,,,,,319814250,https://www.cian.ru/sale/flat/319814250/,3.4
24250000,"Некрасовка: 20 мин, Лухмановская: 5 мин, Улица Дмитриевского: 7 мин",Лухмановская,5 мин,3.0,11.0,18.0,93.0,21.0,2.7,Монолитный,Есть ремонт,2022.0,,"Школы, Магазины, Торговые центры",Парковка,,,319232314,https://www.cian.ru/sale/flat/319232314/,40.0
136400000,"Полянка: 7 мин, Октябрьская: 8 мин, Добрынинская: 8 мин, Серпуховская: 11 мин, Павелецкая: 16 мин, Третьяковская: 16 мин, Новокузнецкая: 20 мин",Полянка,7 мин,3.0,3.0,7.0,125.0,25.0,,,,2019.0,,,Парковка,,,313351516,https://www.cian.ru/sale/flat/313351516/,
18500000,"Кантемировская: 19 мин, Царицыно: 18 мин, Москворечье: 24 мин",Царицыно,18 мин,3.0,3.0,5.0,55.0,6.5,2.65,Панельный,Есть ремонт,,,Школы,Парковка,,,322039116,https://www.cian.ru/sale/flat/322039116/,38.0
14600000,"Ольховая: 20 мин, Прокшино: 21 мин, Коммунарка: 22 мин",Ольховая,20 мин,3.0,11.0,14.0,76.9,12.1,2.7,Монолитный,Есть ремонт,,6.0,"Школы, Магазины",Парковка,,,314399036,https://www.cian.ru/sale/flat/314399036/,49.3
20900000,"Курьяново: 6 мин, Перерва: 25 мин, Марьино: 7 мин",Курьяново,6 мин,3.0,18.0,32.0,56.3,19.0,2.8,,Евроремонт,2018.0,,"Школы, Магазины","Парковка, Видеонаблюдение",,,322629413,https://www.cian.ru/sale/flat/322629413/,30.0
30300000,"Спартак: 8 мин, Тушинская: 10 мин, Стрешнево: 6 мин",Стрешнево,6 мин,2.0,6.0,18.0,66.7,20.7,3.1,Монолитный,,2019.0,,"Школы, Магазины",Парковка,,,321751911,https://www.cian.ru/sale/flat/321751911/,
410000000,"Фрунзенская: 14 мин, Киевская: 14 мин, Парк Культуры: 20 мин",Фрунзенская,14 мин,4.0,2.0,13.0,183.0,65.0,3.5,Монолитно-кирпичный,Новый ремонт,2019.0,,Школы,Парковка,,,323125810,https://www.cian.ru/sale/flat/323125810/,
11000000,"Рязанский проспект: 19 мин, Кузьминки: 20 мин, Окская: 25 мин",Рязанский проспект,19 мин,1.0,9.0,9.0,36.0,6.0,2.64,Панельный,Есть ремонт,,,"Школы, Магазины",,,,317755696,https://www.cian.ru/sale/flat/317755696/,20.0
2800000,"Борисово: 1 мин, Шипиловская: 17 мин, Алма-Атинская: 19 мин",Борисово,1 мин,,8.0,17.0,38.0,8.0,,Панельный,,,,,,,,320894124,https://www.cian.ru/sale/flat/320894124/,19.0
65000000,"Шелепиха: 19 мин, Шелепиха: 16 мин, Звенигородская: 20 мин, Хорошёвская: 4 мин",Хорошёвская,4 мин,4.0,35.0,41.0,104.9,,3.2,,,2023.0,,"Школы, Магазины",Парковка,,,322252512,https://www.cian.ru/sale/flat/322252512/,
710000000,"Тверская: 7 мин, Пушкинская: 8 мин, Охотный ряд: 8 мин, Чеховская: 10 мин, Театральная: 13 мин, Библиотека им. Ленина: 15 мин, Александровский сад: 15 мин, Арбатская: 16 мин, Маяковская: 17 мин, Кузнецкий мост: 17 мин, Боровицкая: 18 мин, Площадь Революции: 18 мин, Лубянка: 18 мин, Трубная: 19 мин",Тверская,7 мин,,7.0,7.0,457.5,24.0,,Монолитный,,2007.0,,Школы,"Парковка, Видеонаблюдение",,,320695728,https://www.cian.ru/sale/flat/320695728/,300.0
23800000,"Измайловская: 19 мин, Первомайская: 21 мин, Щёлковская: 4 мин",Щёлковская,4 мин,2.0,4.0,19.0,68.0,11.0,3.1,Монолитно-кирпичный,,2022.0,,"Школы, Магазины",Парковка,,,321363241,https://www.cian.ru/sale/flat/321363241/,35.0
270000000,"Киевская: 11 мин, Фрунзенская: 17 мин, Смоленская: 20 мин",Киевская,11 мин,,15.0,15.0,214.3,,4.0,,,,,"Школы, Магазины","Парковка, Видеонаблюдение",,,323014911,https://www.cian.ru/sale/flat/323014911/,88.0
10900000,"Коломенская: 16 мин, Каширская: 20 мин, Каширская: 23 мин",Коломенская,16 мин,1.0,4.0,9.0,31.3,5.0,2.55,Кирпичный,,,,,Парковка,,,322068201,https://www.cian.ru/sale/flat/322068201/,21.1
67000000,"Трубная: 5 мин, Цветной бульвар: 7 мин, Чеховская: 9 мин, Пушкинская: 9 мин, Тверская: 11 мин, Кузнецкий мост: 14 мин, Сретенский бульвар: 15 мин, Сухаревская: 16 мин, Театральная: 16 мин, Тургеневская: 16 мин, Лубянка: 17 мин, Чистые пруды: 18 мин, Маяковская: 19 мин, Охотный ряд: 20 мин",Трубная,5 мин,,3.0,4.0,112.6,20.0,,Кирпичный,Есть ремонт,,,"Школы, Магазины",Парковка,,,306785993,https://www.cian.ru/sale/flat/306785993/,87.6
16500000,"Речной вокзал: 21 мин, Грачёвская: 22 мин, Беломорская: 24 мин",Речной вокзал,21 мин,4.0,1.0,9.0,78.4,6.0,2.55,Панельный,,,,"Школы, Магазины",Парковка,,,321666234,https://www.cian.ru/sale/flat/321666234/,57.3
7800000,"Бабушкинская: 21 мин, Медведково: 5 мин, Свиблово: 6 мин",Медведково,5 мин,,5.0,5.0,17.1,3.0,2.8,Кирпичный,Евроремонт,,,,Парковка,,,321426971,https://www.cian.ru/sale/flat/321426971/,9.1
21500000,"Бульвар Рокоссовского: 4 мин, Преображенская площадь: 6 мин, Черкизовская: 6 мин",Бульвар Рокоссовского,4 мин,2.0,22.0,31.0,43.8,17.8,3.0,Монолитный,,2020.0,,Магазины,Парковка,,,323537651,https://www.cian.ru/sale/flat/323537651/,12.1
12490000,"Домодедовская: 18 мин, Орехово: 4 мин, Зябликово: 4 мин",Орехово,4 мин,,1.0,9.0,63.0,6.0,2.6,Панельный,Евроремонт,,,Магазины,Парковка,,,319065780,https://www.cian.ru/sale/flat/319065780/,47.0
190000000,"Курская: 15 мин, Курская: 12 мин, Чкаловская: 12 мин, Китай-город: 14 мин, Чистые пруды: 16 мин, Тургеневская: 18 мин, Сретенский бульвар: 19 мин",Курская,12 мин,4.0,6.0,10.0,182.0,25.0,3.15,Монолитно-кирпичный,,2009.0,,Торговые центры,"Парковка, Охрана",,,229252131,https://www.cian.ru/sale/flat/229252131/,142.0
12900000,"Царицыно: 7 мин, Каспийская: 10 мин, Липецкая: 14 мин, Пражская: 8 мин, Покровское: 8 мин",Царицыно,7 мин,3.0,7.0,12.0,59.8,6.2,,Блочный,Есть ремонт,,,"Школы, Магазины",,,,321065472,https://www.cian.ru/sale/flat/321065472/,43.1
13990000,"Румянцево: 17 мин, Саларьево: 6 мин, Филатов Луг: 9 мин",Саларьево,6 мин,,23.0,23.0,55.6,17.0,,Монолитно-кирпичный,,2025.0,,"Школы, Магазины, Торговые центры","Парковка, Видеонаблюдение",,,321457983,https://www.cian.ru/sale/flat/321457983/,23.0
13290000,"Санино: 7 мин, Крёкшино: 20 мин, Победа: 9 мин",Санино,7 мин,3.0,3.0,7.0,65.0,13.0,3.1,,Есть ремонт,2021.0,,,Парковка,,,322054621,https://www.cian.ru/sale/flat/322054621/,39.0
36000000,"Октябрьское поле: 18 мин, Панфиловская: 25 мин, Зорге: 4 мин",Зорге,4 мин,2.0,5.0,24.0,67.0,,3.0,Монолитный,,2017.0,,,Парковка,,,297966234,https://www.cian.ru/sale/flat/297966234/,
11700000,"Люблино: 9 мин, Братиславская: 10 мин, Марьино: 11 мин",Люблино,9 мин,3.0,1.0,12.0,64.5,9.0,2.64,Блочный,Есть ремонт,,5.0,Школы,Парковка,,,302292404,https://www.cian.ru/sale/flat/302292404/,43.1
16500000,"Беломорская: 9 мин, Ховрино: 16 мин, Ховрино: 18 мин",Беломорская,9 мин,,3.0,31.0,29.9,,3.0,,Есть ремонт,2020.0,,,Парковка,,,322407903,https://www.cian.ru/sale/flat/322407903/,19.0
13800000,"Щербинка: 10 мин, Бутово: 7 мин, Бунинская аллея: 10 мин",Бутово,7 мин,3.0,15.0,17.0,64.0,8.5,2.8,Панельный,Есть ремонт,,,"Школы, Магазины",,,,322286789,https://www.cian.ru/sale/flat/322286789/,50.5
13700000,"Площадь Ильича: 12 мин, Серп и Молот: 9 мин, Римская: 12 мин, Москва-Товарная: 18 мин",Серп и Молот,9 мин,,8.0,10.0,29.4,,2.75,Монолитный,,2017.0,,,Парковка,,,322926878,https://www.cian.ru/sale/flat/322926878/,21.0
108000000,"Октябрьская: 11 мин, Серпуховская: 11 мин, Добрынинская: 13 мин, Шаболовская: 13 мин",Октябрьская,11 мин,4.0,24.0,28.0,111.0,33.0,3.0,Монолитный,Есть ремонт,2022.0,,,"Видеонаблюдение, Парковка, Охрана",,,322757640,https://www.cian.ru/sale/flat/322757640/,
252200000,"Менделеевская: 5 мин, Новослободская: 7 мин, Достоевская: 14 мин, Белорусская: 15 мин, Савёловская: 17 мин, Савёловская: 18 мин, Савёловская: 20 мин, Белорусская: 20 мин",Менделеевская,5 мин,4.0,9.0,10.0,126.1,7.0,,Монолитно-кирпичный,,2019.0,,"Школы, Магазины",Парковка,,,321423206,https://www.cian.ru/sale/flat/321423206/,
21700000,"Коптево: 12 мин, Красный Балтиец: 5 мин, Войковская: 6 мин",Красный Балтиец,5 мин,3.0,4.0,12.0,64.2,9.3,2.5,Блочный,Есть ремонт,,,"Школы, Торговые центры",Парковка,,,323036215,https://www.cian.ru/sale/flat/323036215/,
5757175,"Измайлово: 1 мин, Партизанская: 7 мин, Черкизовская: 20 мин, Локомотив: 20 мин",Измайлово,1 мин,,2.0,5.0,17.6,4.0,3.5,Кирпичный,Есть ремонт,,,"Школы, Магазины",Парковка,,,318885227,https://www.cian.ru/sale/flat/318885227/,
16200000,"Орехово: 19 мин, Домодедовская: 19 мин, Шипиловская: 4 мин",Шипиловская,4 мин,1.0,19.0,22.0,40.0,15.0,3.0,,Есть ремонт,2017.0,,"Школы, Магазины","Парковка, Видеонаблюдение",,,322482679,https://www.cian.ru/sale/flat/322482679/,16.0
,,,,,,,,,,,,,,,,,,319770015,https://www.cian.ru/sale/flat/319770015/,
14550000,"Тушинская: 22 мин, Трикотажная: 22 мин, Спартак: 6 мин",Спартак,6 мин,,19.0,25.0,46.3,12.0,3.5,Монолитный,,2022.0,,Школы,Парковка,,,320741533,https://www.cian.ru/sale/flat/320741533/,29.3
18500000,"Октябрьское поле: 7 мин, Панфиловская: 15 мин, Зорге: 16 мин",Октябрьское поле,7 мин,2.0,2.0,7.0,54.0,8.0,3.0,Кирпичный,,,,Магазины,Парковка,,,319856894,https://www.cian.ru/sale/flat/319856894/,34.0
20999000,"Планерная: 19 мин, Сходненская: 24 мин, Митино: 6 мин",Митино,6 мин,2.0,6.0,14.0,57.2,10.2,,Монолитный,Есть ремонт,,,"Школы, Магазины",,,,322644083,https://www.cian.ru/sale/flat/322644083/,33.0
10300000,"Окская: 10 мин, Рязанский проспект: 12 мин, Кузьминки: 16 мин",Окская,10 мин,1.0,12.0,12.0,35.0,9.4,2.64,Панельный,,,,,Парковка,,,319873128,https://www.cian.ru/sale/flat/319873128/,19.0
20000000,"Нижегородская: 8 мин, Нижегородская: 9 мин, Нижегородская: 12 мин, Стахановская: 13 мин, Новохохловская: 19 мин",Нижегородская,8 мин,2.0,29.0,31.0,55.9,27.1,2.7,Монолитный,,2023.0,,Школы,Парковка,,,323561737,https://www.cian.ru/sale/flat/323561737/,12.0
229999999,"Полянка: 6 мин, Третьяковская: 9 мин, Новокузнецкая: 13 мин, Октябрьская: 13 мин, Кропоткинская: 15 мин, Боровицкая: 16 мин, Александровский сад: 18 мин, Библиотека им. Ленина: 19 мин, Добрынинская: 19 мин",Полянка,6 мин,3.0,2.0,6.0,156.2,20.0,3.3,,,,,Торговые центры,"Парковка, Видеонаблюдение",,,320557011,https://www.cian.ru/sale/flat/320557011/,
22500000,"Авиамоторная: 12 мин, Авиамоторная: 14 мин, Авиамоторная: 16 мин",Авиамоторная,12 мин,1.0,15.0,22.0,37.0,10.0,3.2,Монолитный,Есть ремонт,2019.0,,"Школы, Магазины",Парковка,,,323166204,https://www.cian.ru/sale/flat/323166204/,14.0
88000000,"Ломоносовский проспект: 2 мин, Раменки: 14 мин, Университет: 22 мин",Ломоносовский проспект,2 мин,4.0,15.0,17.0,101.0,12.0,3.1,Монолитный,,2008.0,,,Парковка,,,320992631,https://www.cian.ru/sale/flat/320992631/,70.0
14350000,"Нагорная: 21 мин, Нагатинская: 22 мин, Нахимовский проспект: 24 мин",Нагорная,21 мин,2.0,8.0,8.0,40.9,6.0,2.64,Кирпичный,,,,"Школы, Магазины",Парковка,,,323223125,https://www.cian.ru/sale/flat/323223125/,31.3
12400000,"Свиблово: 11 мин, Бабушкинская: 11 мин, Медведково: 11 мин",Свиблово,11 мин,2.0,2.0,9.0,42.7,6.0,2.64,Панельный,,,,"Школы, Магазины",Парковка,,,322453941,https://www.cian.ru/sale/flat/322453941/,27.3
30490000,"Шелепиха: 5 мин, Шелепиха: 8 мин, Москва-Сити: 10 мин, Москва-Сити: 11 мин, Деловой центр: 18 мин, Деловой центр: 19 мин",Шелепиха,5 мин,3.0,11.0,51.0,84.0,28.9,3.1,,,2025.0,,"Магазины, Торговые центры",Парковка,,,321844817,https://www.cian.ru/sale/flat/321844817/,33.9
250000000,"Смоленская: 9 мин, Кропоткинская: 9 мин, Парк Культуры: 15 мин, Арбатская: 18 мин, Боровицкая: 19 мин",Смоленская,9 мин,3.0,4.0,6.0,170.0,15.0,3.5,Монолитный,,,,Торговые центры,"Парковка, Охрана",,,315721065,https://www.cian.ru/sale/flat/315721065/,
16300000,"Люблино: 8 мин, Депо: 16 мин, Печатники: 19 мин, Волжская: 20 мин",Люблино,8 мин,2.0,4.0,19.0,57.7,12.0,,Монолитный,,,,"Школы, Магазины",Парковка,,,309238115,https://www.cian.ru/sale/flat/309238115/,31.9
13990000,"Рассказовка: 17 мин, Мичуринец: 11 мин, Новопеределкино: 5 мин",Новопеределкино,5 мин,1.0,3.0,17.0,37.8,9.0,,Панельный,Есть ремонт,2014.0,,"Школы, Магазины, Торговые центры",Парковка,,,323569086,https://www.cian.ru/sale/flat/323569086/,
17999000,"Добрынинская: 6 мин, Серпуховская: 21 мин, Павелецкая: 21 мин",Добрынинская,6 мин,,20.0,28.0,24.0,4.0,3.0,,Есть ремонт,2024.0,,,Парковка,,,322855954,https://www.cian.ru/sale/flat/322855954/,16.0
34500000,"Шелепиха: 18 мин, Шелепиха: 15 мин, Звенигородская: 18 мин, Хорошёвская: 25 мин",Шелепиха,15 мин,2.0,11.0,43.0,67.1,16.5,3.1,,,2024.0,,"Школы, Магазины, Торговые центры",Парковка,,,319614226,https://www.cian.ru/sale/flat/319614226/,29.0
12990000,"Люблино: 13 мин, Депо: 14 мин, Братиславская: 20 мин",Люблино,13 мин,2.0,1.0,5.0,54.0,7.4,3.2,Кирпичный,Есть ремонт,,,Магазины,Парковка,,,323360315,https://www.cian.ru/sale/flat/323360315/,33.6
19990000,"Рижская: 15 мин, Рижская: 16 мин, Сокольники: 22 мин",Рижская,15 мин,,2.0,21.0,52.0,17.0,2.62,,,2023.0,,Магазины,Парковка,,,322014354,https://www.cian.ru/sale/flat/322014354/,
50000000,"Полежаевская: 14 мин, Зорге: 13 мин, Хорошёво: 13 мин, Хорошёвская: 14 мин",Зорге,13 мин,,8.0,26.0,67.0,10.3,3.15,,,2023.0,,,Парковка,,,322534303,https://www.cian.ru/sale/flat/322534303/,30.0
429000000,"Фрунзенская: 15 мин, Парк Культуры: 11 мин, Киевская: 19 мин, Смоленская: 20 мин",Парк Культуры,11 мин,4.0,2.0,7.0,236.0,20.0,3.1,Кирпичный,,2014.0,,,Парковка,,,322851587,https://www.cian.ru/sale/flat/322851587/,
218000000,"Фрунзенская: 14 мин, Спортивная: 15 мин, Лужники: 18 мин",Фрунзенская,14 мин,,2.0,10.0,251.0,20.0,,Кирпичный,,2007.0,,Школы,Парковка,,,317410360,https://www.cian.ru/sale/flat/317410360/,163.0
10600000,"Чертановская: 15 мин, Южная: 19 мин, Севастопольская: 5 мин",Севастопольская,5 мин,1.0,1.0,9.0,36.0,7.0,2.64,Панельный,,,,,Парковка,,,323144255,https://www.cian.ru/sale/flat/323144255/,
7999000,"Динамо: 4 мин, Петровский Парк: 5 мин, ЦСКА: 22 мин",Динамо,4 мин,,2.0,12.0,19.5,,4.5,Кирпичный,,,,Школы,Парковка,,,322354439,https://www.cian.ru/sale/flat/322354439/,
6799999,"Войковская: 19 мин, Красный Балтиец: 12 мин, Балтийская: 4 мин",Балтийская,4 мин,,2.0,7.0,20.4,3.0,3.0,Монолитный,Есть ремонт,,,Магазины,"Парковка, Видеонаблюдение",,,320812696,https://www.cian.ru/sale/flat/320812696/,15.0
13700000,"Ольховая: 16 мин, Коммунарка: 18 мин, Новомосковская: 19 мин",Ольховая,16 мин,2.0,6.0,8.0,58.8,14.5,2.7,,,2024.0,,Школы,Парковка,,,323520922,https://www.cian.ru/sale/flat/323520922/,27.6
27999999,"Строгино: 14 мин, Строгино: 20 мин, Липовая Роща: 23 мин, Мякинино: 6 мин, Щукинская: 9 мин",Мякинино,6 мин,2.0,14.0,20.0,82.3,33.0,,Монолитный,Дизайнерский ремонт,,,,Парковка,,,322538551,https://www.cian.ru/sale/flat/322538551/,30.0
15600000,"Ольховая: 16 мин, Коммунарка: 17 мин, Новомосковская: 18 мин",Ольховая,16 мин,2.0,11.0,17.0,62.4,22.0,2.7,,Евроремонт,2022.0,,"Школы, Магазины",Парковка,,,323037294,https://www.cian.ru/sale/flat/323037294/,
54000000,"Китай-город: 11 мин, Чкаловская: 14 мин, Курская: 17 мин, Таганская: 17 мин, Курская: 19 мин, Новокузнецкая: 20 мин",Китай-город,11 мин,,2.0,8.0,62.0,20.0,,Монолитный,,2021.0,,,Парковка,,,314304114,https://www.cian.ru/sale/flat/314304114/,37.0
19900000,"Щукинская: 15 мин, Октябрьское поле: 4 мин, Панфиловская: 5 мин",Октябрьское поле,4 мин,3.0,1.0,5.0,72.2,8.0,2.9,Монолитный,Есть ремонт,,,"Школы, Магазины, Торговые центры",,,,306018066,https://www.cian.ru/sale/flat/306018066/,51.4
13000000,"Сходненская: 21 мин, Планерная: 5 мин, Митино: 6 мин",Планерная,5 мин,2.0,6.0,12.0,38.2,7.0,2.5,Блочный,Есть ремонт,,,"Школы, Магазины",Парковка,,,323429365,https://www.cian.ru/sale/flat/323429365/,23.2
52400000,"Новокузнецкая: 6 мин, Третьяковская: 9 мин, Павелецкая: 18 мин, Китай-город: 20 мин",Новокузнецкая,6 мин,,3.0,5.0,44.3,6.0,3.3,Монолитный,,2021.0,,Школы,Парковка,,,322229948,https://www.cian.ru/sale/flat/322229948/,30.0
11750000,"Филатов Луг: 9 мин, Рассказовка: 6 мин, Аэропорт Внуково: 8 мин",Рассказовка,6 мин,1.0,14.0,14.0,38.9,8.4,2.7,Панельный,Евроремонт,2016.0,,"Школы, Магазины, Торговые центры",Парковка,,,323133747,https://www.cian.ru/sale/flat/323133747/,18.5
42000000,"Мякинино: 23 мин, Волоколамская: 20 мин, Трикотажная: 5 мин",Трикотажная,5 мин,3.0,42.0,52.0,70.4,16.1,2.9,,Дизайнерский ремонт,2023.0,,Торговые центры,Парковка,,,323355479,https://www.cian.ru/sale/flat/323355479/,29.7
99999000,"Добрынинская: 8 мин, Полянка: 8 мин, Серпуховская: 10 мин, Октябрьская: 11 мин, Павелецкая: 14 мин, Третьяковская: 14 мин, Новокузнецкая: 18 мин",Добрынинская,8 мин,3.0,4.0,8.0,130.0,15.0,3.0,Монолитно-кирпичный,,,,"Школы, Магазины",Видеонаблюдение,,,318018586,https://www.cian.ru/sale/flat/318018586/,
43000000,"Свиблово: 12 мин, Ботанический сад: 9 мин, Владыкино: 7 мин",Владыкино,7 мин,,6.0,7.0,95.0,45.0,3.2,Монолитный,Есть ремонт,2019.0,,Торговые центры,Парковка,,,323401732,https://www.cian.ru/sale/flat/323401732/,45.0
17100000,"Коломенская: 7 мин, Технопарк: 23 мин, Автозаводская: 6 мин",Автозаводская,6 мин,2.0,7.0,9.0,44.5,6.5,,Панельный,Есть ремонт,,,"Школы, Торговые центры",Парковка,,,319787714,https://www.cian.ru/sale/flat/319787714/,27.0
21000000,"ЗИЛ: 7 мин, Автозаводская: 16 мин, ЗИЛ: 8 мин, ЗИЛ: 12 мин",ЗИЛ,7 мин,,10.0,15.0,54.8,8.0,,,Евроремонт,2019.0,,"Школы, Магазины",Парковка,,,323358907,https://www.cian.ru/sale/flat/323358907/,32.0
12500000,"Рассказовка: 20 мин, Новопеределкино: 6 мин, Пыхтино: 6 мин",Новопеределкино,6 мин,1.0,2.0,8.0,38.0,10.0,,Монолитно-кирпичный,,2021.0,,"Школы, Торговые центры",Парковка,,,323466249,https://www.cian.ru/sale/flat/323466249/,19.0
7200000,"Окружная: 10 мин, Владыкино: 11 мин, Петровско-Разумовская: 11 мин, Петровско-Разумовская: 16 мин",Окружная,10 мин,,4.0,13.0,18.4,6.0,,Монолитный,,,,,Парковка,,,321776351,https://www.cian.ru/sale/flat/321776351/,
21800000,"Лефортово: 12 мин, Лефортово: 14 мин, Авиамоторная: 20 мин",Лефортово,12 мин,2.0,2.0,9.0,54.9,8.0,3.1,,Евроремонт,,,"Школы, Магазины",Парковка,,,323524262,https://www.cian.ru/sale/flat/323524262/,36.7
20500000,"Прокшино: 7 мин, Ольховая: 6 мин, Коммунарка: 7 мин",Ольховая,6 мин,3.0,4.0,15.0,80.0,14.1,2.9,Блочный,,2019.0,,Магазины,Парковка,,,323312731,https://www.cian.ru/sale/flat/323312731/,42.1
16000000,"Потапово: 4 мин, Новомосковская: 22 мин, Бунинская аллея: 7 мин",Потапово,4 мин,2.0,2.0,18.0,50.5,17.3,2.6,,,2023.0,,"Школы, Магазины, Торговые центры","Парковка, Видеонаблюдение",,,321005735,https://www.cian.ru/sale/flat/321005735/,23.2
43000000,"Москва-Сити: 4 мин, Москва-Сити: 3 мин, Деловой центр: 6 мин, Деловой центр: 6 мин, Деловой центр: 6 мин, Москва-Сити: 10 мин, Шелепиха: 16 мин, Шелепиха: 20 мин",Москва-Сити,3 мин,,31.0,68.0,51.0,13.0,,Монолитный,,2020.0,,"Школы, Торговые центры",Парковка,,,321554844,https://www.cian.ru/sale/flat/321554844/,33.0
18000000,"Спартак: 5 мин, Тушинская: 16 мин, Сходненская: 5 мин",Спартак,5 мин,3.0,5.0,5.0,74.0,,,,Есть ремонт,,,Магазины,,,,314834804,https://www.cian.ru/sale/flat/314834804/,
